Workout Timestamp (EST),Instructor Name,Length (minutes),Type,Title,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (MPH),Miles Pedaled,Calories Burned
11/8/17 5:17,Alex Toussaint,30,Climb,30 min Climb Ride,308,171,54%,68,19.92,9.95,461
11/11/17 18:22,Robin Arzon,30,Intervals,30 min HIIT Ride,346,192,59%,65,20.62,10.3,507
11/16/17 18:22,Denis Morton,20,Intervals,20 min HIIT Ride,213,178,52%,72,19.74,6.57,293
11/19/17 17:16,Ally Love,20,Intervals,20 min Tabata Ride,201,168,50%,76,19.67,6.55,302
11/25/17 18:58,Robin Arzon,30,Intervals,30 min HIIT Ride,314,175,57%,64,19.49,9.72,520
11/26/17 18:26,Jess King,30,Climb,30 min Climb Ride,371,206,62%,63,21.44,10.71,512
11/28/17 5:31,Robin Arzon,30,Low Impact,30 min Low Impact Ride,232,129,45%,73,17.7,8.84,360
12/11/17 18:01,Robin Arzon,30,Intervals,30 min Intervals & Arms Ride,271,151,50%,69,18.15,9.07,373
12/24/17 13:51,Denis Morton,20,Intervals,20 min HIIT Ride,201,167,49%,76,19.42,6.46,275
12/25/17 10:00,Denis Morton,45,Theme,45 min Rock Ride,422,157,51%,70,18.9,14.16,671
12/26/17 19:10,Denis Morton,45,Theme,45 min 90s Rock Ride,438,162,50%,74,19.32,14.48,600
1/3/18 19:15,Denis Morton,30,Intervals,30 min Intervals & Arms Ride,244,136,50%,65,17.51,8.74,335
1/4/18 18:49,Jess King,30,Intervals,30 min Intervals & Arms Ride,280,156,50%,69,18.46,9.22,370
1/6/18 9:37,Denis Morton,45,Theme,45 min Classic Rock Ride,460,171,49%,76,19.62,14.71,692
1/7/18 10:12,Denis Morton,30,Intervals,30 min HIIT Ride,300,167,49%,77,19.46,9.71,410
1/11/18 5:46,Denis Morton,30,Intervals,30 min HIIT Ride,262,146,47%,75,18.25,9.11,360
1/13/18 17:11,Robin Arzon,30,Intervals,30 min Intervals & Arms Ride,302,168,53%,68,19.23,9.6,483
1/14/18 18:58,Christine D'Ercole,30,Theme,30 min 80s Ride,321,179,55%,67,20.07,10.02,481
1/15/18 11:30,Denis Morton,30,Theme,30 min Country Ride,310,185,50%,80,20.32,9.47,440
1/16/18 18:02,Jess King,30,Intervals,30 min Intervals & Arms Ride,279,155,48%,76,18.97,9.48,379
1/18/18 5:44,Denis Morton,30,Intervals,30 min Intervals & Arms Ride,279,155,49%,72,18.57,9.28,431
1/19/18 5:48,Ally Love,30,Intervals,30 min HIIT Ride,325,181,52%,73,19.98,9.98,465
1/23/18 5:54,Robin Arzon,20,Low Impact,20 min Low Impact Ride,152,129,45%,74,17.77,5.84,206
1/25/18 5:51,Robin Arzon,20,Intervals,20 min HIIT Ride,209,175,54%,70,19.69,6.55,287
1/26/18 5:46,Denis Morton,30,Intervals,30 min Intervals & Arms Ride,213,119,45%,67,16.39,8.19,350
